1-50,51-100,101-150,151-200,medrbp,1ndcg20,51ndcg20,101ndcg20,151ndcg20,cost1,cost2,cost3,cost4,bm251,bm252,bm253,bm254,fix1,fixcost,fix2,fix3,fix4
1103,1542,2477,1118,0.001,0.3234,0.2803,0.2421,0.1493,2696.8,3770.19,6056.265,2733.51,0.1987,0.1224,0.1714,0.0999,0.3117,2445,0.2781,0.2373,0.1444
556,888,945,461,0.1,0.3207,0.2863,0.2447,0.1513,1359.3999999999999,2171.16,2310.525,1127.145,0.1987,0.1224,0.1714,0.0999,0.3233,4890,0.2755,0.2359,0.1501
392,694,557,346,0.2,0.3246,0.2819,0.2447,0.1525,958.4,1696.83,1361.865,845.97,0.1987,0.1224,0.1714,0.0999,0.3226,7335,0.2796,0.2347,0.1485
296,596,381,284,0.3,0.3195,0.2808,0.2374,0.1531,723.7,1457.22,931.545,694.38,0.1987,0.1224,0.1714,0.0999,0.3226,9780,0.2807,0.2421,0.1473
236,471,317,251,0.4,0.3047,0.259,0.2293,0.1467,577.0,1151.595,775.065,613.695,0.1987,0.1224,0.1714,0.0999,0.3226,12225,0.2796,0.2433,0.1468
183,399,182,196,0.5,0.2952,0.2469,0.2293,0.1467,447.40000000000003,975.555,444.99,479.22,0.1987,0.1224,0.1714,0.0999,0.3226,14670,0.2793,0.2416,0.1464
147,331,151,161,0.6,0.2917,0.2298,0.225,0.133,359.4,809.295,369.195,393.645,0.1987,0.1224,0.1714,0.0999,0.3226,17115,0.2793,0.2416,0.1464
112,263,136,129,0.7,0.2811,0.2005,0.2227,0.1302,273.8,643.035,332.52,315.405,0.1987,0.1224,0.1714,0.0999,0.3226,19560,0.2793,0.2396,0.1464
88,186,129,101,0.8,0.256,0.1733,0.2116,0.1223,215.2,454.77,315.405,246.945,0.1987,0.1224,0.1714,0.0999,0.3226,22005,0.2793,0.2394,0.1464
65,138,77,62,0.9,0.2458,0.1604,0.2076,0.1184,158.9,337.41,188.265,151.59,0.1987,0.1224,0.1714,0.0999,0.3233,24450,0.2793,0.2394,0.1464
