alpha urisk trisk pvalue models
0.0 0.0871 2.2449 0.0294 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
1.0 0.0302 0.6155 0.541 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
2.0 -0.0267 -0.4386 0.663 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
3.0 -0.0835 -1.141 0.26 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
4.0 -0.1404 -1.6316 0.109 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
5.0 -0.1973 -1.9897 0.0523 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
6.0 -0.2542 -2.2609 0.0283 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
7.0 -0.3111 -2.4726 0.017 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
8.0 -0.3679 -2.6421 0.0111 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
9.0 -0.4248 -2.7806 0.00773 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
10.0 -0.4817 -2.8959 0.00568 jf.lmart.NDCG.1000.31.0.05.0.8Trisk
0.0 0.0734 1.8416 0.0717 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
1.0 0.0138 0.2756 0.784 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
2.0 -0.0457 -0.734 0.467 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
3.0 -0.1052 -1.4021 0.167 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
4.0 -0.1647 -1.8655 0.0682 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
5.0 -0.2243 -2.2017 0.0325 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
6.0 -0.2838 -2.4551 0.0178 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
7.0 -0.3433 -2.652 0.0108 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
8.0 -0.4028 -2.8091 0.00717 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
9.0 -0.4624 -2.9371 0.00508 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
10.0 -0.5219 -3.0433 0.00379 jf.lmart.TRiskAwareFAROEval:1:NDCG.1000.15.0.05.0.8Trisk
0.0 0.0876 2.393 0.0207 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
1.0 0.042 0.9417 0.351 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
2.0 -0.0036 -0.0673 0.947 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
3.0 -0.0492 -0.7704 0.445 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
4.0 -0.0948 -1.2751 0.208 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
5.0 -0.1404 -1.6498 0.106 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
6.0 -0.1861 -1.9367 0.0587 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
7.0 -0.2317 -2.1624 0.0356 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
8.0 -0.2773 -2.344 0.0233 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
9.0 -0.3229 -2.493 0.0162 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
10.0 -0.3685 -2.6172 0.0118 jf.lmart.TRiskAwareSAROEval:1:NDCG.1500.31.0.05.0.6Trisk
0.0 0.081 2.2209 0.0311 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
1.0 0.0305 0.6517 0.518 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
2.0 -0.0201 -0.344 0.732 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
3.0 -0.0707 -0.995 0.325 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
4.0 -0.1213 -1.4432 0.155 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
5.0 -0.1719 -1.7667 0.0836 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
6.0 -0.2224 -2.0097 0.0501 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
7.0 -0.273 -2.1982 0.0328 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
8.0 -0.3236 -2.3484 0.023 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
9.0 -0.3742 -2.4707 0.0171 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
10.0 -0.4248 -2.5721 0.0133 jf.lmart.TRiskAwareSAROEval:5:NDCG.1500.31.0.05.0.6Trisk
0.0 0.0843 2.3617 0.0223 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
1.0 0.0354 0.7895 0.434 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
2.0 -0.0134 -0.2428 0.809 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
3.0 -0.0623 -0.9355 0.354 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
4.0 -0.1112 -1.4208 0.162 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
5.0 -0.16 -1.7756 0.0821 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
6.0 -0.2089 -2.0444 0.0464 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
7.0 -0.2578 -2.2544 0.0288 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
8.0 -0.3066 -2.4225 0.0192 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
9.0 -0.3555 -2.5599 0.0137 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
10.0 -0.4044 -2.6741 0.0102 jf.lmart.URiskAwareEval:1:NDCG.1000.31.0.05.0.4Trisk
0.0 0.0859 2.2162 0.0315 lgbm.gbdt.1000.63.0.05.0.4Trisk
1.0 0.0255 0.497 0.621 lgbm.gbdt.1000.63.0.05.0.4Trisk
2.0 -0.0349 -0.534 0.596 lgbm.gbdt.1000.63.0.05.0.4Trisk
3.0 -0.0953 -1.1888 0.24 lgbm.gbdt.1000.63.0.05.0.4Trisk
4.0 -0.1557 -1.6328 0.109 lgbm.gbdt.1000.63.0.05.0.4Trisk
5.0 -0.216 -1.9507 0.0569 lgbm.gbdt.1000.63.0.05.0.4Trisk
6.0 -0.2764 -2.1884 0.0335 lgbm.gbdt.1000.63.0.05.0.4Trisk
7.0 -0.3368 -2.3723 0.0217 lgbm.gbdt.1000.63.0.05.0.4Trisk
8.0 -0.3972 -2.5186 0.0152 lgbm.gbdt.1000.63.0.05.0.4Trisk
9.0 -0.4576 -2.6375 0.0112 lgbm.gbdt.1000.63.0.05.0.4Trisk
10.0 -0.5179 -2.7361 0.00869 lgbm.gbdt.1000.63.0.05.0.4Trisk
