alpha,topic,trisk,pvalue
0.0,22939,1.3795,0.168
0.0,22941,0.7579,0.449
0.0,22942,0.1778,0.859
0.0,22943,0.927,0.354
0.0,22944,-0.2896,0.772
0.0,22945,0.618,0.537
0.0,22946,0.3894,0.697
0.0,22947,0.9343,0.35
0.0,22948,-0.0335,0.973
0.0,22949,0.7719,0.44
0.0,22950,-0.5323,0.595
0.0,22951,-0.7172,0.473
0.0,22952,2.1757,0.0296
0.0,22953,0.0,1.0
0.0,22954,0.4781,0.633
0.0,22955,0.0373,0.97
0.0,22956,1.3243,0.185
0.0,22957,0.0,1.0
0.0,22958,-1.0272,0.304
0.0,22959,-1.2826,0.2
0.0,22960,0.784,0.433
0.0,22961,0.0,1.0
0.0,22962,1.0784,0.281
0.0,22963,-0.1129,0.91
0.0,22964,1.4157,0.157
0.0,22965,0.6586,0.51
0.0,22966,0.8066,0.42
0.0,22967,0.6712,0.502
0.0,22968,0.7985,0.425
0.0,22969,-0.7579,0.449
0.0,22970,0.428,0.669
0.0,22971,0.0,1.0
0.0,22972,0.8487,0.396
0.0,22973,1.5404,0.124
0.0,22974,0.1691,0.866
0.0,22975,1.6302,0.103
0.0,22976,0.6816,0.496
0.0,22977,2.8382,0.0046
0.0,22978,1.0945,0.274
0.0,22979,1.1046,0.269
0.0,22980,-0.019,0.985
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.5323,0.595
0.0,22984,0.3925,0.695
0.0,22985,-0.6393,0.523
0.0,22986,-0.2114,0.833
0.0,22987,2.1374,0.0326
0.0,22988,1.854,0.0638
0.0,22989,0.8428,0.399
0.0,22990,0.5068,0.612
0.0,22991,-1.2663,0.205
0.0,22992,0.4445,0.657
0.0,22993,2.1015,0.0356
0.0,22994,0.0,1.0
0.0,22995,1.9448,0.0518
0.0,22996,0.4506,0.652
0.0,22997,-0.0149,0.988
0.0,22998,0.4651,0.642
0.0,22999,2.5489,0.0108
0.0,23000,0.5001,0.617
0.0,23001,0.3764,0.707
0.0,23002,0.0497,0.96
0.0,23003,1.547,0.122
0.0,23004,0.4094,0.682
0.0,23005,-1.7079,0.0877
0.0,23006,0.0,1.0
0.0,23007,0.411,0.681
0.0,23008,0.0,1.0
0.0,23009,0.3292,0.742
0.0,23010,0.1778,0.859
0.0,23011,1.7162,0.0862
0.0,23012,2.0317,0.0422
0.0,23013,-1.3138,0.189
0.0,23014,0.7323,0.464
0.0,23015,1.4015,0.161
0.0,23016,1.1697,0.242
0.0,23017,0.0153,0.988
0.0,23018,1.4339,0.152
0.0,23019,1.9724,0.0486
0.0,23020,-0.309,0.757
0.0,23021,1.4629,0.144
0.0,23022,0.0811,0.935
0.0,23023,0.2323,0.816
0.0,23024,0.668,0.504
0.0,23025,-0.3007,0.764
0.0,23026,-0.2323,0.816
0.0,23027,0.618,0.537
0.0,23028,0.8044,0.421
0.0,23029,-0.6253,0.532
0.0,23030,0.0443,0.965
0.0,23031,0.2475,0.805
0.0,23032,0.0,1.0
0.0,23033,-0.4093,0.682
0.0,23034,0.3043,0.761
0.0,23035,-0.1142,0.909
0.0,23036,2.7421,0.0061
0.0,23037,0.9031,0.367
0.0,23038,0.7717,0.44
0.0,23039,0.0,1.0
0.0,23041,-0.7037,0.482
0.0,23042,3.4573,0.0005
0.0,23043,0.0,1.0
0.0,23044,0.1619,0.871
0.0,23045,1.0705,0.284
0.0,23046,-1.7438,0.0812
0.0,23047,0.5058,0.613
0.0,23048,-0.0529,0.958
0.0,23049,0.4781,0.633
0.0,23050,0.0,1.0
0.0,23051,-2.4547,0.0141
0.0,23052,0.7606,0.447
0.0,23053,0.1806,0.857
0.0,23054,-0.92,0.358
0.0,23055,0.0,1.0
0.0,23056,0.9487,0.343
0.0,23057,-0.9567,0.339
0.0,23058,0.4621,0.644
0.0,23059,-0.0364,0.971
0.0,23060,-0.2015,0.84
0.0,23061,-0.1479,0.882
0.0,23062,1.6559,0.0978
0.0,23063,1.5655,0.118
0.0,23064,0.5593,0.576
0.0,23065,1.5808,0.114
0.0,23066,-0.4288,0.668
0.0,23067,0.449,0.653
0.0,23068,1.1263,0.26
0.0,23069,0.4563,0.648
0.0,23070,0.0474,0.962
0.0,23071,-0.6202,0.535
0.0,23072,1.7171,0.086
0.0,23073,0.6282,0.53
0.0,23074,0.0,1.0
0.0,23075,1.7305,0.0836
0.0,23076,0.0,1.0
0.0,23077,-0.4372,0.662
0.0,23078,0.2953,0.768
0.0,23079,0.0,1.0
