alpha,topic,trisk,pvalue
0.0,22939,2.0752,0.038
0.0,22941,1.2233,0.221
0.0,22942,0.176,0.86
0.0,22943,0.9175,0.359
0.0,22944,-0.2866,0.774
0.0,22945,0.1384,0.89
0.0,22946,0.7795,0.436
0.0,22947,0.5798,0.562
0.0,22948,-0.0855,0.932
0.0,22949,1.3869,0.166
0.0,22950,-0.5268,0.598
0.0,22951,-0.7099,0.478
0.0,22952,2.1534,0.0313
0.0,22953,0.0,1.0
0.0,22954,0.8421,0.4
0.0,22955,0.0369,0.971
0.0,22956,1.3566,0.175
0.0,22957,0.0,1.0
0.0,22958,-0.0882,0.93
0.0,22959,0.9822,0.326
0.0,22960,0.7367,0.461
0.0,22961,0.0,1.0
0.0,22962,1.0673,0.286
0.0,22963,0.0,1.0
0.0,22964,1.4926,0.136
0.0,22965,1.2635,0.206
0.0,22966,0.0193,0.985
0.0,22967,0.6643,0.507
0.0,22968,0.7903,0.429
0.0,22969,-0.7501,0.453
0.0,22970,-0.3482,0.728
0.0,22971,-0.2204,0.826
0.0,22972,-0.3968,0.692
0.0,22973,1.5246,0.127
0.0,22974,-0.0775,0.938
0.0,22975,1.6135,0.107
0.0,22976,0.3254,0.745
0.0,22977,2.7333,0.0063
0.0,22978,-0.3006,0.764
0.0,22979,3.1562,0.0016
0.0,22980,-0.0188,0.985
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.0536,0.957
0.0,22984,0.3885,0.698
0.0,22985,-0.5182,0.604
0.0,22986,-0.3578,0.721
0.0,22987,1.8751,0.0608
0.0,22988,1.8349,0.0666
0.0,22989,-0.0083,0.993
0.0,22990,0.6335,0.526
0.0,22991,-1.2533,0.21
0.0,22992,0.4399,0.66
0.0,22993,2.1335,0.0329
0.0,22994,0.0,1.0
0.0,22995,2.4153,0.0157
0.0,22996,0.4742,0.635
0.0,22997,-0.0148,0.988
0.0,22998,0.2595,0.795
0.0,22999,2.1873,0.0288
0.0,23000,0.4063,0.685
0.0,23001,0.4521,0.651
0.0,23002,0.6266,0.531
0.0,23003,1.4966,0.135
0.0,23004,0.3849,0.7
0.0,23005,-1.6818,0.0927
0.0,23006,0.1205,0.904
0.0,23007,0.4068,0.684
0.0,23008,0.0,1.0
0.0,23009,0.9676,0.333
0.0,23010,0.0,1.0
0.0,23011,1.7849,0.0743
0.0,23012,2.0108,0.0444
0.0,23013,-0.9115,0.362
0.0,23014,0.7248,0.469
0.0,23015,1.3871,0.165
0.0,23016,0.2402,0.81
0.0,23017,0.0,1.0
0.0,23018,0.6703,0.503
0.0,23019,1.9522,0.051
0.0,23020,-0.3058,0.76
0.0,23021,1.827,0.0677
0.0,23022,1.9262,0.0541
0.0,23023,-1.4287,0.153
0.0,23024,0.6612,0.509
0.0,23025,-1.4016,0.161
0.0,23026,-1.6586,0.0972
0.0,23027,0.6116,0.541
0.0,23028,0.8271,0.408
0.0,23029,0.2986,0.765
0.0,23030,0.0642,0.949
0.0,23031,0.245,0.806
0.0,23032,0.0,1.0
0.0,23033,-0.0469,0.963
0.0,23034,0.3011,0.763
0.0,23035,-0.113,0.91
0.0,23036,2.714,0.0067
0.0,23037,0.8938,0.371
0.0,23038,1.1008,0.271
0.0,23039,0.0,1.0
0.0,23041,-0.9102,0.363
0.0,23042,3.484,0.0005
0.0,23043,0.0,1.0
0.0,23044,0.1602,0.873
0.0,23045,1.0595,0.289
0.0,23046,-2.0244,0.043
0.0,23047,0.5006,0.617
0.0,23048,-0.0524,0.958
0.0,23049,0.4732,0.636
0.0,23050,0.0,1.0
0.0,23051,-2.3741,0.0176
0.0,23052,0.7528,0.452
0.0,23053,-0.7503,0.453
0.0,23054,-0.2501,0.803
0.0,23055,0.0,1.0
0.0,23056,0.2351,0.814
0.0,23057,-0.9468,0.344
0.0,23058,0.4085,0.683
0.0,23059,-0.2595,0.795
0.0,23060,-0.2315,0.817
0.0,23061,-0.1871,0.852
0.0,23062,2.0635,0.0391
0.0,23063,1.8753,0.0608
0.0,23064,0.729,0.466
0.0,23065,1.5418,0.123
0.0,23066,-0.4244,0.671
0.0,23067,0.4443,0.657
0.0,23068,1.0384,0.299
0.0,23069,0.4516,0.652
0.0,23070,0.0469,0.963
0.0,23071,-0.3868,0.699
0.0,23072,1.8928,0.0584
0.0,23073,0.6218,0.534
0.0,23074,0.7503,0.453
0.0,23075,1.5595,0.119
0.0,23076,0.0,1.0
0.0,23077,-0.4327,0.665
0.0,23078,0.1934,0.847
0.0,23079,0.6218,0.534
0.0,23080,0.0103,0.992
0.0,23081,-1.2689,0.205
0.0,23082,0.2752,0.783
0.0,23083,0.5466,0.585
0.0,23084,0.1437,0.886
0.0,23085,2.9384,0.0033
0.0,23086,0.0,1.0
0.0,23087,0.8662,0.386
0.0,23088,1.0156,0.31
0.0,23089,-1.0007,0.317
0.0,23090,0.8832,0.377
0.0,23091,0.747,0.455
0.0,23092,0.6116,0.541
0.0,23093,0.376,0.707
0.0,23094,0.8676,0.386
0.0,23095,0.5761,0.565
0.0,23096,0.0329,0.974
0.0,23097,0.3048,0.761
0.0,23098,0.1127,0.91
0.0,23099,-2.785,0.0054
0.0,23100,-0.3367,0.736
0.0,23101,0.6481,0.517
0.0,23102,0.6703,0.503
0.0,23103,0.0,1.0
0.0,23104,-0.0804,0.936
0.0,23105,-0.517,0.605
0.0,23106,-0.7256,0.468
0.0,23107,-0.4479,0.654
0.0,23108,1.0694,0.285
0.0,23109,0.0893,0.929
0.0,23110,-0.9112,0.362
0.0,23111,-0.4956,0.62
0.0,23112,0.0657,0.948
0.0,23113,1.7507,0.08
0.0,23114,0.9112,0.362
0.0,23115,0.1601,0.873
0.0,23116,-1.8751,0.0608
0.0,23117,0.0079,0.994
0.0,23118,0.6802,0.496
0.0,23119,4.9086,0.0
0.0,23120,-1.1209,0.262
0.0,23121,-0.7099,0.478
0.0,23122,-0.6514,0.515
0.0,23123,0.1837,0.854
0.0,23124,2.0385,0.0415
0.0,23125,0.4723,0.637
0.0,23126,1.1451,0.252
0.0,23127,-0.0479,0.962
0.0,23128,0.0,1.0
0.0,23129,-1.8433,0.0653
0.0,23130,0.8234,0.41
0.0,23132,0.48,0.631
0.0,23133,0.9852,0.325
0.0,23134,1.1818,0.237
0.0,23135,1.8675,0.0619
0.0,23136,1.2986,0.194
0.0,23137,-1.7766,0.0757
0.0,23138,-0.7405,0.459
0.0,23139,0.8416,0.4
0.0,23140,0.6549,0.513
0.0,23141,-0.1384,0.89
0.0,23142,-0.0217,0.983
0.0,23143,1.3561,0.175
0.0,23144,0.4269,0.669
0.0,23145,0.5268,0.598
0.0,23146,1.9733,0.0485
0.0,23148,0.0,1.0
0.0,23149,0.1074,0.914
0.0,23150,-0.7041,0.481
0.0,23151,-0.3626,0.717
0.0,23152,0.5853,0.558
0.0,23153,0.0946,0.925
0.0,23154,0.0,1.0
0.0,23155,0.1384,0.89
0.0,23156,1.4414,0.15
0.0,23157,1.665,0.096
0.0,23158,3.6521,0.0003
0.0,23159,0.0,1.0
0.0,23160,0.686,0.493
0.0,23161,-0.8499,0.395
0.0,23162,0.0,1.0
0.0,23163,1.0777,0.281
0.0,23164,0.6418,0.521
0.0,23165,1.2233,0.221
0.0,23167,0.0617,0.951
0.0,23168,1.1745,0.24
0.0,23169,0.3688,0.712
0.0,23170,1.6944,0.0902
0.0,23171,3.4135,0.0006
0.0,23172,0.6366,0.524
0.0,23173,0.0,1.0
0.0,23174,1.4286,0.153
0.0,23175,2.1108,0.0348
0.0,23176,4.4927,0.0
0.0,23177,0.6986,0.485
0.0,23178,1.7424,0.0815
0.0,23179,0.9343,0.35
0.0,23180,0.8596,0.39
0.0,23181,-0.2408,0.81
0.0,23182,0.0,1.0
0.0,23183,-0.9965,0.319
0.0,23184,0.0,1.0
0.0,23185,0.0,1.0
0.0,23186,-0.6772,0.498
0.0,23188,0.3365,0.737
0.0,23189,0.061,0.951
0.0,23190,2.3009,0.0214
0.0,23191,1.6787,0.0933
0.0,23193,-0.2559,0.798
0.0,23194,1.9551,0.0506
0.0,23195,1.0206,0.307
0.0,23196,-1.295,0.195
0.0,23197,0.7084,0.479
0.0,23198,1.7812,0.0749
0.0,23199,0.6116,0.541
0.0,23200,0.1837,0.854
0.0,23201,1.7217,0.0852
0.0,23202,1.8392,0.0659
0.0,23203,0.496,0.62
0.0,23204,0.0,1.0
0.0,23205,0.0,1.0
0.0,23206,-0.482,0.63
0.0,23207,0.1756,0.861
0.0,23208,-0.3772,0.706
0.0,23209,2.1108,0.0348
0.0,23210,1.2024,0.229
0.0,23211,0.4341,0.664
0.0,23212,0.0,1.0
0.0,23213,0.3843,0.701
0.0,23214,-0.7561,0.45
0.0,23215,0.5268,0.598
0.0,23216,0.3032,0.762
0.0,23217,0.4212,0.674
0.0,23218,1.0654,0.287
0.0,23219,1.9967,0.0459
0.0,23220,2.3301,0.0198
0.0,23221,-0.9247,0.355
0.0,23222,-0.482,0.63
0.0,23223,0.0,1.0
0.0,23224,0.0,1.0
0.0,23225,0.8263,0.409
0.0,23226,0.5868,0.557
0.0,23227,-0.2085,0.835
0.0,23228,1.8302,0.0673
0.0,23229,1.1832,0.237
0.0,23230,0.7231,0.47
0.0,23231,1.6151,0.106
0.0,23232,0.0,1.0
0.0,23234,1.7127,0.0868
0.0,23235,-0.4605,0.645
0.0,23236,0.6207,0.535
0.0,23237,0.2165,0.829
0.0,23238,1.3888,0.165
0.0,23239,1.1349,0.256
0.0,23240,-1.3751,0.169
0.0,23241,0.8462,0.397
0.0,23242,1.5674,0.117
0.0,23243,-1.1129,0.266
0.0,23244,0.4528,0.651
0.0,23245,0.9845,0.325
0.0,23246,1.4771,0.14
0.0,23247,2.0623,0.0392
0.0,23248,-0.787,0.431
0.0,23249,0.0,1.0
0.0,23250,2.0056,0.0449
0.0,23251,-2.2896,0.0221
0.0,23252,-0.6965,0.486
0.0,23253,-0.1195,0.905
0.0,23254,1.0001,0.317
0.0,23255,0.0758,0.94
0.0,23256,0.6268,0.531
