alpha,topic,trisk,pvalue
0.0,22939,2.0475,0.0406
0.0,22941,0.7401,0.459
0.0,22942,0.1736,0.862
0.0,22943,0.9052,0.365
0.0,22944,-0.2828,0.777
0.0,22945,0.6035,0.546
0.0,22946,-0.037,0.97
0.0,22947,1.3879,0.165
0.0,22948,-0.0843,0.933
0.0,22949,1.5294,0.126
0.0,22950,-0.0744,0.941
0.0,22951,-0.7004,0.484
0.0,22952,2.1247,0.0336
0.0,22953,0.0,1.0
0.0,22954,0.7555,0.45
0.0,22955,0.0,1.0
0.0,22956,0.8236,0.41
0.0,22957,0.0,1.0
0.0,22958,-0.0871,0.931
0.0,22959,-1.2525,0.21
0.0,22960,0.8388,0.402
0.0,22961,0.0,1.0
0.0,22962,1.0531,0.292
0.0,22963,-0.1103,0.912
0.0,22964,1.4727,0.141
0.0,22965,0.7268,0.467
0.0,22966,0.1473,0.883
0.0,22967,0.6554,0.512
0.0,22968,0.3128,0.754
0.0,22969,-0.0529,0.958
0.0,22970,0.418,0.676
0.0,22971,-0.2174,0.828
0.0,22972,0.2863,0.775
0.0,22973,1.5043,0.133
0.0,22974,-0.0765,0.939
0.0,22975,1.592,0.111
0.0,22976,0.3211,0.748
0.0,22977,2.6969,0.007
0.0,22978,0.0896,0.929
0.0,22979,2.4725,0.0134
0.0,22980,-0.1464,0.884
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.0529,0.958
0.0,22984,0.2252,0.822
0.0,22985,-1.2893,0.197
0.0,22986,-0.1937,0.846
0.0,22987,1.3832,0.167
0.0,22988,1.8105,0.0703
0.0,22989,0.4651,0.642
0.0,22990,1.7739,0.0761
0.0,22991,-1.2366,0.216
0.0,22992,0.5969,0.551
0.0,22993,1.5853,0.113
0.0,22994,0.0,1.0
0.0,22995,2.2177,0.0266
0.0,22996,0.4679,0.64
0.0,22997,-0.0146,0.988
0.0,22998,0.4542,0.65
0.0,22999,1.8066,0.0709
0.0,23000,0.4009,0.689
0.0,23001,0.2192,0.827
0.0,23002,0.1065,0.915
0.0,23003,1.0085,0.313
0.0,23004,0.2203,0.826
0.0,23005,-1.5847,0.113
0.0,23006,0.1189,0.905
0.0,23007,0.4014,0.688
0.0,23008,0.0,1.0
0.0,23009,1.0488,0.294
0.0,23010,0.1736,0.862
0.0,23011,1.676,0.0938
0.0,23012,1.984,0.0473
0.0,23013,-0.521,0.602
0.0,23014,0.6999,0.484
0.0,23015,0.6682,0.504
0.0,23016,1.0629,0.288
0.0,23017,-0.7279,0.467
0.0,23018,0.9172,0.359
0.0,23019,2.1714,0.0299
0.0,23020,-0.3018,0.763
0.0,23021,1.2305,0.219
0.0,23022,0.9375,0.349
0.0,23023,-1.4096,0.159
0.0,23024,0.6524,0.514
0.0,23025,-0.2936,0.769
0.0,23026,-0.2269,0.821
0.0,23027,0.6035,0.546
0.0,23028,0.7856,0.432
0.0,23029,0.2946,0.768
0.0,23030,-0.0138,0.989
0.0,23031,0.2417,0.809
0.0,23032,0.0,1.0
0.0,23033,-0.5765,0.564
0.0,23034,0.2971,0.766
0.0,23035,-0.1115,0.911
0.0,23036,2.6778,0.0074
0.0,23037,0.8819,0.378
0.0,23038,0.1736,0.862
0.0,23039,0.0,1.0
0.0,23041,-0.2946,0.768
0.0,23042,3.4375,0.0006
0.0,23043,-0.1454,0.884
0.0,23044,0.625,0.532
0.0,23045,1.0454,0.296
0.0,23046,-1.9974,0.0458
0.0,23047,0.4939,0.621
0.0,23048,-0.0517,0.959
0.0,23049,0.4669,0.641
0.0,23050,0.0,1.0
0.0,23051,-2.3895,0.0169
0.0,23052,0.47,0.638
0.0,23053,-0.661,0.509
0.0,23054,-0.8985,0.369
0.0,23055,0.0,1.0
0.0,23056,0.3925,0.695
0.0,23057,-0.9342,0.35
0.0,23058,0.4031,0.687
0.0,23059,0.0671,0.947
0.0,23060,0.3935,0.694
0.0,23061,-0.1846,0.854
0.0,23062,1.014,0.311
0.0,23063,1.5288,0.126
0.0,23064,1.3227,0.186
0.0,23065,1.5213,0.128
0.0,23066,-0.4187,0.675
0.0,23067,0.0188,0.985
0.0,23068,-0.4404,0.66
0.0,23069,0.4456,0.656
0.0,23070,0.0463,0.963
0.0,23071,-0.3816,0.703
0.0,23072,1.6768,0.0936
0.0,23073,0.6135,0.54
0.0,23074,0.0,1.0
0.0,23075,1.5388,0.124
0.0,23076,0.0,1.0
0.0,23077,-0.4269,0.669
0.0,23078,-0.0976,0.922
0.0,23079,0.6135,0.54
0.0,23080,0.9342,0.35
0.0,23081,-1.2992,0.194
0.0,23082,0.3024,0.762
0.0,23083,0.0748,0.94
0.0,23084,0.1418,0.887
0.0,23085,3.1845,0.0015
0.0,23086,0.0963,0.923
0.0,23087,0.8546,0.393
0.0,23088,1.4348,0.151
0.0,23089,-1.0251,0.305
0.0,23090,0.8388,0.402
0.0,23091,0.7947,0.427
0.0,23092,0.6035,0.546
0.0,23093,-0.1659,0.868
0.0,23094,0.4935,0.622
0.0,23095,0.5685,0.57
0.0,23096,0.6701,0.503
0.0,23097,0.3007,0.764
0.0,23098,0.1112,0.911
0.0,23099,-3.6531,0.0003
0.0,23100,-0.3322,0.74
0.0,23101,0.3309,0.741
0.0,23102,0.5117,0.609
0.0,23103,0.0,1.0
0.0,23104,-0.7797,0.436
0.0,23105,0.155,0.877
0.0,23106,-0.7159,0.474
0.0,23107,-1.0168,0.309
0.0,23108,1.0061,0.314
0.0,23109,-0.251,0.802
0.0,23110,-0.8537,0.393
0.0,23111,-0.2026,0.839
0.0,23112,-0.768,0.443
0.0,23113,1.7274,0.0841
0.0,23114,0.8991,0.369
0.0,23115,1.4487,0.147
0.0,23116,-1.4251,0.154
0.0,23117,0.0078,0.994
0.0,23118,0.6712,0.502
0.0,23119,4.8432,0.0
0.0,23120,-1.1757,0.24
0.0,23121,-0.3833,0.702
0.0,23122,-0.6682,0.504
0.0,23123,0.1812,0.856
0.0,23124,2.0113,0.0443
0.0,23125,0.5435,0.587
0.0,23126,0.9646,0.335
0.0,23127,1.8859,0.0594
0.0,23128,2.299,0.0215
0.0,23129,-1.6058,0.108
0.0,23130,0.8125,0.417
0.0,23132,0.5189,0.604
0.0,23133,0.9721,0.331
0.0,23134,1.166,0.244
0.0,23135,1.0629,0.288
0.0,23136,-0.3089,0.757
0.0,23137,-1.8442,0.0652
0.0,23138,-0.9552,0.34
0.0,23139,0.8268,0.408
0.0,23140,0.6461,0.518
0.0,23141,-0.5198,0.603
0.0,23142,0.4455,0.656
0.0,23143,1.3871,0.165
0.0,23144,0.3166,0.752
0.0,23145,0.5198,0.603
0.0,23146,1.947,0.0516
0.0,23148,-0.6989,0.485
0.0,23149,0.106,0.916
0.0,23150,0.0,1.0
0.0,23151,-0.3232,0.747
0.0,23152,-2.2053,0.0275
0.0,23153,0.0933,0.926
0.0,23154,-0.3067,0.759
0.0,23155,0.1365,0.891
0.0,23156,1.4222,0.155
0.0,23157,1.6429,0.1
0.0,23158,3.6917,0.0002
0.0,23159,0.0,1.0
0.0,23160,0.3325,0.74
0.0,23161,-0.8386,0.402
0.0,23162,0.4653,0.642
0.0,23163,1.6668,0.0956
0.0,23164,0.6332,0.527
0.0,23165,1.207,0.227
0.0,23167,0.0609,0.951
0.0,23168,1.1589,0.247
0.0,23169,0.3024,0.762
0.0,23170,0.8351,0.404
0.0,23171,2.299,0.0215
0.0,23172,0.6281,0.53
0.0,23173,-0.5506,0.582
0.0,23174,1.4096,0.159
0.0,23175,0.7471,0.455
0.0,23176,4.8712,0.0
0.0,23177,0.6284,0.53
0.0,23178,1.984,0.0473
0.0,23179,0.8585,0.391
0.0,23180,0.7926,0.428
0.0,23181,0.6088,0.543
0.0,23182,-0.7004,0.484
0.0,23183,-0.9832,0.326
0.0,23184,0.0,1.0
0.0,23185,0.0836,0.933
0.0,23186,-1.8105,0.0703
0.0,23188,0.3689,0.712
0.0,23189,0.0602,0.952
0.0,23190,1.5924,0.111
0.0,23191,1.9015,0.0573
0.0,23193,-0.2525,0.801
0.0,23194,1.5259,0.127
0.0,23195,1.8704,0.0615
0.0,23196,-1.2777,0.201
0.0,23197,0.6989,0.485
0.0,23198,1.6617,0.0966
0.0,23199,-0.3833,0.702
0.0,23200,0.1812,0.856
0.0,23201,1.6718,0.0946
0.0,23202,1.7462,0.0808
0.0,23203,0.4758,0.634
0.0,23204,-1.2814,0.2
0.0,23205,0.0,1.0
0.0,23206,0.0,1.0
0.0,23207,0.1369,0.891
0.0,23208,-0.5079,0.612
0.0,23209,1.6181,0.106
0.0,23210,1.1863,0.236
0.0,23211,0.4867,0.626
0.0,23212,0.0,1.0
0.0,23213,0.3792,0.705
0.0,23214,-1.0136,0.311
0.0,23215,0.3618,0.718
0.0,23216,0.2992,0.765
0.0,23217,0.5096,0.61
0.0,23218,0.9094,0.363
0.0,23219,1.9701,0.0489
0.0,23220,0.0,1.0
0.0,23221,-0.9124,0.362
0.0,23222,-0.4756,0.634
0.0,23223,0.0,1.0
0.0,23224,0.0,1.0
0.0,23225,0.8153,0.415
0.0,23226,0.5975,0.55
0.0,23227,-0.2057,0.837
0.0,23228,1.8956,0.0581
0.0,23229,1.1674,0.243
0.0,23230,0.7134,0.476
0.0,23231,1.5936,0.111
0.0,23232,0.4669,0.641
0.0,23234,1.8727,0.0612
0.0,23235,-1.1743,0.24
0.0,23236,1.2108,0.226
0.0,23237,-0.5926,0.553
0.0,23238,1.3703,0.171
0.0,23239,1.6297,0.103
0.0,23240,-0.5198,0.603
0.0,23241,0.7315,0.464
0.0,23242,1.5465,0.122
0.0,23243,-2.9395,0.0033
0.0,23244,0.4467,0.655
0.0,23245,0.9714,0.331
0.0,23246,1.5601,0.119
0.0,23247,2.0348,0.0419
0.0,23248,0.0,1.0
0.0,23249,0.0,1.0
0.0,23250,1.3227,0.186
0.0,23251,-2.4619,0.0138
0.0,23252,0.0529,0.958
0.0,23253,-0.0456,0.964
0.0,23254,0.5198,0.603
0.0,23255,-0.7215,0.471
0.0,23256,0.3969,0.691
0.0,23257,0.0,1.0
0.0,23258,2.4746,0.0134
0.0,23259,0.531,0.595
0.0,23260,3.5132,0.0004
0.0,23261,0.5198,0.603
0.0,23262,1.2381,0.216
0.0,23263,0.0369,0.971
0.0,23264,1.1233,0.261
0.0,23265,-0.0517,0.959
0.0,23266,-0.2072,0.836
0.0,23267,0.4669,0.641
0.0,23268,1.2475,0.212
0.0,23269,-1.3418,0.18
0.0,23270,0.2434,0.808
0.0,23271,1.5043,0.133
0.0,23272,0.0057,0.995
0.0,23273,1.5043,0.133
0.0,23274,1.0686,0.285
0.0,23275,0.0,1.0
0.0,23276,-0.0053,0.996
0.0,23277,1.5043,0.133
0.0,23278,0.0,1.0
0.0,23279,0.0,1.0
0.0,23280,0.0,1.0
0.0,23281,0.0,1.0
0.0,23282,0.2883,0.773
0.0,23283,-0.067,0.947
0.0,23284,1.5043,0.133
0.0,23285,0.0057,0.995
0.0,23286,1.512,0.131
0.0,23287,0.5063,0.613
0.0,23288,-3.1414,0.0017
0.0,23289,3.4681,0.0005
0.0,23290,0.4906,0.624
0.0,23291,0.1278,0.898
0.0,23292,-0.3818,0.703
0.0,23293,0.0,1.0
0.0,23294,2.4139,0.0158
0.0,23295,0.9628,0.336
0.0,23296,-0.5014,0.616
0.0,23297,1.5977,0.11
0.0,23298,-0.6647,0.506
0.0,23299,0.7883,0.431
0.0,23300,0.7615,0.446
0.0,23301,0.0,1.0
0.0,23302,0.0291,0.977
0.0,23303,-1.0711,0.284
0.0,23304,2.5128,0.012
0.0,23305,0.2417,0.809
0.0,23306,1.5881,0.112
0.0,23307,-0.3568,0.721
0.0,23308,1.1629,0.245
0.0,23309,-2.0475,0.0406
0.0,23310,0.3474,0.728
0.0,23311,0.8288,0.407
0.0,23312,-0.7942,0.427
0.0,23313,0.0329,0.974
0.0,23314,-0.1284,0.898
0.0,23315,0.4002,0.689
0.0,23316,0.794,0.427
0.0,23317,2.4108,0.0159
0.0,23318,-1.2918,0.196
0.0,23319,0.8218,0.411
0.0,23320,-0.3421,0.732
0.0,23321,-0.7306,0.465
0.0,23322,0.4384,0.661
0.0,23323,1.8031,0.0714
0.0,23324,1.8485,0.0646
0.0,23325,1.0789,0.281
0.0,23326,1.6181,0.106
0.0,23327,-0.0682,0.946
0.0,23328,1.505,0.132
0.0,23329,2.8188,0.0048
0.0,23330,1.5112,0.131
0.0,23331,0.9794,0.327
0.0,23332,0.0385,0.969
0.0,23333,-0.7887,0.43
0.0,23334,-2.299,0.0215
0.0,23335,-0.0225,0.982
0.0,23336,1.2815,0.2
0.0,23337,0.6788,0.497
0.0,23338,0.222,0.824
0.0,23339,0.1278,0.898
0.0,23340,1.2239,0.221
0.0,23341,0.0696,0.945
0.0,23342,-0.8458,0.398
0.0,23343,0.5112,0.609
0.0,23344,1.2961,0.195
0.0,23345,2.0693,0.0386
0.0,23346,0.2507,0.802
0.0,23347,3.9422,0.0001
0.0,23348,-0.2454,0.806
0.0,23349,0.3626,0.717
0.0,23350,2.1303,0.0332
0.0,23351,0.5173,0.605
0.0,23352,-0.0454,0.964
0.0,23353,-0.8794,0.379
0.0,23354,0.0646,0.948
0.0,23355,0.4669,0.641
0.0,23356,0.0,1.0
0.0,23357,2.019,0.0435
0.0,23358,1.7988,0.0721
0.0,23359,2.7744,0.0056
0.0,23360,2.5705,0.0102
0.0,23361,1.0018,0.316
0.0,23362,1.7612,0.0782
0.0,23363,2.6143,0.009
0.0,23364,1.1124,0.266
0.0,23365,0.4455,0.656
0.0,23366,0.0,1.0
0.0,23367,2.5651,0.0103
0.0,23368,0.9771,0.329
0.0,23369,-0.8737,0.382
0.0,23370,0.5424,0.588
0.0,23371,0.7611,0.447
0.0,23372,-0.4342,0.664
0.0,23373,0.6584,0.51
0.0,23374,1.1208,0.262
0.0,23375,0.0,1.0
0.0,23376,1.6831,0.0924
0.0,23377,0.3307,0.741
0.0,23378,0.4967,0.619
0.0,23379,-0.3977,0.691
0.0,23380,-0.3699,0.711
0.0,23381,0.5475,0.584
0.0,23382,-1.1287,0.259
0.0,23383,-0.0399,0.968
0.0,23384,-0.9886,0.323
0.0,23385,0.0,1.0
0.0,23386,0.7242,0.469
0.0,23387,1.1701,0.242
0.0,23388,1.1105,0.267
0.0,23389,0.527,0.598
0.0,23390,-0.0941,0.925
0.0,23391,-1.1341,0.257
0.0,23392,0.3728,0.709
0.0,23393,0.0,1.0
0.0,23394,0.9242,0.355
0.0,23395,0.1512,0.88
0.0,23396,0.2681,0.789
0.0,23397,1.3744,0.169
0.0,23398,1.3424,0.18
0.0,23399,0.6981,0.485
0.0,23400,-0.8776,0.38
0.0,23401,-1.3722,0.17
0.0,23402,0.1417,0.887
0.0,23403,-1.6349,0.102
0.0,23404,-0.1313,0.896
0.0,23405,0.8231,0.41
0.0,23406,1.4671,0.142
0.0,23407,0.7174,0.473
0.0,23408,0.0278,0.978
0.0,23409,0.0,1.0
0.0,23410,-0.5678,0.57
0.0,23411,-1.3779,0.168
0.0,23412,0.1543,0.877
0.0,23413,0.3002,0.764
0.0,23414,2.3173,0.0205
0.0,23415,0.7401,0.459
0.0,23416,-1.0126,0.311
0.0,23417,-1.1761,0.24
0.0,23418,-0.4781,0.633
0.0,23419,-0.5595,0.576
0.0,23420,0.0,1.0
0.0,23421,-1.2106,0.226
0.0,23422,-0.971,0.332
0.0,23423,0.9136,0.361
0.0,23424,0.1606,0.872
0.0,23425,-0.2719,0.786
0.0,23426,0.7667,0.443
0.0,23427,0.9628,0.336
0.0,23428,-0.8459,0.398
0.0,23429,0.0418,0.967
0.0,23430,-0.4588,0.646
0.0,23431,2.0354,0.0418
0.0,23432,-0.1809,0.856
0.0,23433,2.4466,0.0144
0.0,23434,-0.6091,0.542
0.0,23435,0.4814,0.63
0.0,23436,0.1548,0.877
0.0,23437,-0.9006,0.368
0.0,23438,0.2001,0.841
0.0,23439,0.0,1.0
0.0,23440,0.0,1.0
0.0,23441,0.7647,0.444
0.0,23442,0.6575,0.511
0.0,23443,0.2735,0.784
0.0,23444,0.4327,0.665
0.0,23445,-0.7656,0.444
0.0,23446,1.1856,0.236
0.0,23447,2.6388,0.0083
0.0,23448,0.7489,0.454
0.0,23449,1.6499,0.099
0.0,23450,-1.3924,0.164
0.0,23451,0.0659,0.947
0.0,23452,0.0,1.0
0.0,23453,-0.1111,0.912
0.0,23454,1.4641,0.143
0.0,23455,-0.8754,0.381
0.0,23456,1.4346,0.151
0.0,23457,0.2586,0.796
0.0,23458,-0.0948,0.924
0.0,23459,2.3232,0.0202
0.0,23460,1.3136,0.189
0.0,23461,-0.0227,0.982
0.0,23462,-1.6847,0.0921
0.0,23463,0.4173,0.676
0.0,23464,-0.6613,0.508
0.0,23465,-0.2041,0.838
0.0,23466,0.273,0.785
0.0,23467,0.404,0.686
0.0,23468,0.3014,0.763
0.0,23469,1.7137,0.0866
0.0,23470,0.4047,0.686
0.0,23471,0.8591,0.39
0.0,23472,0.2358,0.814
0.0,23473,1.191,0.234
0.0,23474,-0.0838,0.933
0.0,23475,0.9265,0.354
0.0,23476,0.3867,0.699
0.0,23477,-0.5811,0.561
0.0,23478,0.9427,0.346
0.0,23479,-0.1126,0.91
0.0,23480,-0.8299,0.407
0.0,23481,0.2249,0.822
