alpha,topic,trisk,pvalue
0.0,22939,2.0521,0.0402
0.0,22941,1.2097,0.226
0.0,22942,0.0394,0.969
0.0,22943,0.9073,0.364
0.0,22944,-0.2834,0.777
0.0,22945,0.6048,0.545
0.0,22946,0.2363,0.813
0.0,22947,0.5734,0.566
0.0,22948,-0.0845,0.933
0.0,22949,1.5328,0.125
0.0,22950,-0.0745,0.941
0.0,22951,-0.702,0.483
0.0,22952,2.1294,0.0333
0.0,22953,0.0,1.0
0.0,22954,1.1986,0.231
0.0,22955,0.0,1.0
0.0,22956,1.0407,0.298
0.0,22957,0.0,1.0
0.0,22958,-1.0871,0.277
0.0,22959,-0.174,0.862
0.0,22960,0.8407,0.401
0.0,22961,0.0,1.0
0.0,22962,1.0555,0.291
0.0,22963,-1.1367,0.256
0.0,22964,1.3855,0.166
0.0,22965,0.6446,0.519
0.0,22966,0.8098,0.418
0.0,22967,0.6569,0.511
0.0,22968,0.3135,0.754
0.0,22969,-0.7417,0.458
0.0,22970,0.4189,0.675
0.0,22971,-0.2179,0.828
0.0,22972,0.1286,0.898
0.0,22973,1.5076,0.132
0.0,22974,0.612,0.541
0.0,22975,1.5955,0.111
0.0,22976,0.3218,0.748
0.0,22977,3.385,0.0007
0.0,22978,1.0712,0.284
0.0,22979,0.9588,0.338
0.0,22980,-0.3887,0.698
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.521,0.602
0.0,22984,0.468,0.64
0.0,22985,-0.6257,0.532
0.0,22986,-0.2069,0.836
0.0,22987,1.8543,0.0637
0.0,22988,1.5769,0.115
0.0,22989,0.4083,0.683
0.0,22990,0.8328,0.405
0.0,22991,-1.2394,0.215
0.0,22992,0.435,0.664
0.0,22993,1.9729,0.0485
0.0,22994,0.0,1.0
0.0,22995,2.4926,0.0127
0.0,22996,0.2973,0.766
0.0,22997,-0.0146,0.988
0.0,22998,0.2566,0.797
0.0,22999,2.4947,0.0126
0.0,23000,0.0754,0.94
0.0,23001,0.2197,0.826
0.0,23002,0.0487,0.961
0.0,23003,1.0278,0.304
0.0,23004,0.4007,0.689
0.0,23005,-1.6716,0.0946
0.0,23006,0.1191,0.905
0.0,23007,0.4023,0.687
0.0,23008,0.0,1.0
0.0,23009,0.9569,0.339
0.0,23010,0.174,0.862
0.0,23011,1.6797,0.0931
0.0,23012,1.9884,0.0468
0.0,23013,-0.5222,0.602
0.0,23014,1.0503,0.294
0.0,23015,1.3716,0.17
0.0,23016,-0.6697,0.503
0.0,23017,0.5782,0.563
0.0,23018,1.3453,0.179
0.0,23019,2.1762,0.0296
0.0,23020,0.2289,0.819
0.0,23021,1.8066,0.0709
0.0,23022,0.7615,0.446
