alpha,topic,trisk,pvalue
0.0,22939,2.0437,0.041
0.0,22941,1.1212,0.262
0.0,22942,0.0392,0.969
0.0,22943,0.1253,0.9
0.0,22944,-0.2822,0.778
0.0,22945,-0.0968,0.923
0.0,22946,-0.037,0.97
0.0,22947,1.3949,0.163
0.0,22948,-0.0842,0.933
0.0,22949,1.2808,0.2
0.0,22950,-0.0742,0.941
0.0,22951,0.0,1.0
0.0,22952,2.1206,0.034
0.0,22953,0.0,1.0
0.0,22954,0.7672,0.443
0.0,22955,0.0363,0.971
0.0,22956,1.336,0.182
0.0,22957,0.0,1.0
0.0,22958,-0.9636,0.335
0.0,22959,0.7939,0.427
0.0,22960,0.8617,0.389
0.0,22961,0.0,1.0
0.0,22962,1.0511,0.293
0.0,22963,-0.209,0.834
0.0,22964,1.5965,0.11
0.0,22965,1.2443,0.213
0.0,22966,1.0659,0.287
0.0,22967,0.6542,0.513
0.0,22968,0.7783,0.436
0.0,22969,-0.0528,0.958
0.0,22970,-0.3429,0.732
0.0,22971,-0.217,0.828
0.0,22972,0.3693,0.712
0.0,22973,1.5014,0.133
0.0,22974,0.526,0.599
0.0,22975,1.589,0.112
0.0,22976,0.6643,0.507
0.0,22977,2.7664,0.0057
0.0,22978,-0.2907,0.771
0.0,22979,3.1555,0.0016
0.0,22980,0.2457,0.806
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.6023,0.547
0.0,22984,0.5188,0.604
0.0,22985,-0.6231,0.533
0.0,22986,-0.2061,0.837
0.0,22987,1.8466,0.0648
0.0,22988,1.9323,0.0534
0.0,22989,0.619,0.536
0.0,22990,1.7705,0.0767
0.0,22991,-1.2343,0.217
0.0,22992,0.4332,0.665
0.0,22993,2.0483,0.0406
0.0,22994,0.0,1.0
0.0,22995,2.6639,0.0077
0.0,22996,0.4392,0.661
0.0,22997,-0.0145,0.988
0.0,22998,0.4534,0.65
0.0,22999,2.462,0.0138
0.0,23000,0.4001,0.689
0.0,23001,0.2188,0.827
0.0,23002,0.1063,0.915
0.0,23003,1.4739,0.141
0.0,23004,0.399,0.69
0.0,23005,-1.5817,0.114
0.0,23006,0.1187,0.906
0.0,23007,0.4006,0.689
0.0,23008,0.0,1.0
0.0,23009,0.9529,0.341
0.0,23010,0.1733,0.862
0.0,23011,1.7578,0.0788
0.0,23012,1.9803,0.0477
0.0,23013,-0.3467,0.729
0.0,23014,0.6411,0.521
0.0,23015,1.6026,0.109
0.0,23016,1.0609,0.289
0.0,23017,-0.1807,0.857
0.0,23018,1.3976,0.162
0.0,23019,2.1673,0.0302
0.0,23020,0.228,0.82
0.0,23021,1.7992,0.072
0.0,23022,0.6174,0.537
0.0,23023,-0.1432,0.886
0.0,23024,0.6511,0.515
0.0,23025,-1.3803,0.168
0.0,23026,-0.2264,0.821
0.0,23027,0.6023,0.547
0.0,23028,0.5159,0.606
0.0,23029,0.7601,0.447
0.0,23030,-0.1332,0.894
0.0,23031,0.1578,0.875
0.0,23032,0.0835,0.933
0.0,23033,-0.607,0.544
0.0,23034,0.2389,0.811
0.0,23035,-0.1113,0.911
0.0,23036,2.6727,0.0075
0.0,23037,0.4637,0.643
0.0,23038,-1.3926,0.164
0.0,23039,-0.4165,0.677
0.0,23041,-1.3624,0.173
0.0,23042,3.3698,0.0008
0.0,23043,0.0,1.0
0.0,23044,0.6238,0.533
0.0,23045,1.2808,0.2
0.0,23046,-1.6902,0.091
0.0,23047,0.493,0.622
0.0,23048,-0.0516,0.959
0.0,23049,0.466,0.641
0.0,23050,0.0,1.0
0.0,23051,-2.5159,0.0119
0.0,23052,0.4691,0.639
0.0,23053,-0.6553,0.512
