alpha,topic,trisk,pvalue
0.0,22939,2.0922,0.0365
0.0,22941,0.7562,0.45
0.0,22942,0.1774,0.859
0.0,22943,0.2093,0.834
0.0,22944,-0.2889,0.773
0.0,22945,0.6166,0.538
0.0,22946,-0.0379,0.97
0.0,22947,0.9323,0.351
0.0,22948,-0.0862,0.931
0.0,22949,1.5628,0.118
0.0,22950,-0.076,0.939
0.0,22951,0.0,1.0
0.0,22952,2.1711,0.03
0.0,22953,0.0,1.0
0.0,22954,0.4771,0.633
0.0,22955,0.0,1.0
0.0,22956,1.3214,0.186
0.0,22957,0.0,1.0
0.0,22958,-1.3227,0.186
0.0,22959,0.0,1.0
0.0,22960,0.8571,0.391
0.0,22961,0.1126,0.91
0.0,22962,1.1269,0.26
0.0,22963,-1.3728,0.17
0.0,22964,0.6653,0.506
0.0,22965,0.6572,0.511
0.0,22966,0.7829,0.434
0.0,22967,0.6697,0.503
0.0,22968,0.3196,0.749
0.0,22969,-0.7562,0.45
0.0,22970,0.7968,0.426
0.0,22971,-0.2222,0.824
0.0,22972,0.8468,0.397
0.0,22973,1.5371,0.124
0.0,22974,0.5385,0.59
0.0,22975,1.6267,0.104
0.0,22976,0.3281,0.743
0.0,22977,2.8804,0.004
0.0,22978,1.0921,0.275
0.0,22979,1.7977,0.0723
0.0,22980,-0.2619,0.793
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.1395,0.889
0.0,22984,0.3916,0.695
0.0,22985,-0.6379,0.524
0.0,22986,-0.1979,0.843
0.0,22987,2.3421,0.0192
0.0,22988,1.6078,0.108
0.0,22989,-0.0083,0.993
0.0,22990,-0.6681,0.504
0.0,22991,-1.2636,0.206
0.0,22992,0.4435,0.657
0.0,22993,1.3188,0.187
0.0,22994,0.0,1.0
0.0,22995,2.1949,0.0282
0.0,22996,0.3031,0.762
0.0,22997,-0.0149,0.988
0.0,22998,0.2617,0.794
0.0,22999,2.5205,0.0117
0.0,23000,0.0769,0.939
0.0,23001,0.224,0.823
0.0,23002,0.0496,0.96
0.0,23003,1.3901,0.165
0.0,23004,0.2251,0.822
0.0,23005,-1.7042,0.0884
0.0,23006,0.1215,0.903
0.0,23007,0.4101,0.682
0.0,23008,0.0,1.0
0.0,23009,0.9756,0.329
0.0,23010,0.1774,0.859
0.0,23011,1.6574,0.0975
0.0,23012,2.0273,0.0427
0.0,23013,-0.956,0.339
0.0,23014,0.7308,0.465
0.0,23015,0.0,1.0
0.0,23016,1.0861,0.277
0.0,23017,0.0,1.0
0.0,23018,1.4308,0.153
0.0,23019,1.9682,0.0491
0.0,23020,-0.3084,0.758
0.0,23021,2.9194,0.0035
0.0,23022,2.2529,0.0243
0.0,23023,0.0,1.0
0.0,23024,0.6666,0.505
0.0,23025,-0.1696,0.865
0.0,23026,-0.2318,0.817
0.0,23027,0.6166,0.538
0.0,23028,0.8027,0.422
0.0,23029,0.247,0.805
0.0,23030,-0.1364,0.892
0.0,23031,0.247,0.805
0.0,23032,0.0,1.0
0.0,23033,0.0584,0.953
0.0,23034,0.3544,0.723
0.0,23035,-0.0529,0.958
0.0,23036,2.6863,0.0072
0.0,23037,0.4747,0.635
0.0,23038,1.7894,0.0736
0.0,23039,0.0,1.0
0.0,23041,-0.7022,0.483
0.0,23042,2.7111,0.0067
0.0,23043,-0.1485,0.882
0.0,23044,0.6386,0.523
0.0,23045,1.0682,0.285
0.0,23046,-1.7263,0.0843
0.0,23047,0.5047,0.614
0.0,23048,-0.0528,0.958
0.0,23049,0.4771,0.633
0.0,23050,0.0,1.0
0.0,23051,-3.0447,0.0023
0.0,23052,0.759,0.448
0.0,23053,-0.899,0.369
0.0,23054,-0.7298,0.466
0.0,23055,-0.0596,0.952
0.0,23056,0.1578,0.875
0.0,23057,-0.9546,0.34
0.0,23058,0.4611,0.645
0.0,23059,-0.2617,0.794
0.0,23060,-0.2011,0.841
0.0,23061,-0.1886,0.85
0.0,23062,0.6934,0.488
0.0,23063,1.8039,0.0713
0.0,23064,0.8287,0.407
0.0,23065,1.5545,0.12
0.0,23066,-0.4279,0.669
0.0,23067,0.5698,0.569
0.0,23068,0.7842,0.433
0.0,23069,0.4553,0.649
0.0,23070,0.2279,0.82
0.0,23071,-0.7481,0.454
0.0,23072,1.9083,0.0564
0.0,23073,0.6269,0.531
0.0,23074,0.0,1.0
0.0,23075,1.7111,0.0871
0.0,23076,0.1126,0.91
0.0,23077,-0.4363,0.663
0.0,23078,-0.0997,0.921
0.0,23079,0.0,1.0
0.0,23080,1.0595,0.289
0.0,23081,-0.8529,0.394
0.0,23082,0.2775,0.781
0.0,23083,-0.35,0.726
0.0,23084,-1.3556,0.175
0.0,23085,3.1928,0.0014
0.0,23086,0.0673,0.946
0.0,23087,0.8733,0.383
0.0,23088,1.4661,0.143
0.0,23089,-1.2233,0.221
0.0,23090,0.8905,0.373
0.0,23091,0.812,0.417
0.0,23092,0.6166,0.538
0.0,23093,0.3791,0.705
0.0,23094,0.9873,0.324
0.0,23095,1.3166,0.188
0.0,23096,0.3258,0.745
0.0,23097,0.271,0.786
0.0,23098,0.1137,0.909
0.0,23099,-3.0172,0.0026
0.0,23100,0.7716,0.44
0.0,23101,0.4432,0.658
0.0,23102,-0.2614,0.794
0.0,23103,0.0,1.0
0.0,23104,-0.2093,0.834
0.0,23105,-0.5212,0.602
0.0,23106,-0.7315,0.464
0.0,23107,0.1283,0.898
0.0,23108,1.0281,0.304
0.0,23109,-0.3494,0.727
0.0,23110,-0.8724,0.383
0.0,23111,0.3782,0.705
0.0,23112,0.0663,0.947
0.0,23113,1.7651,0.0776
0.0,23114,1.5124,0.13
0.0,23115,0.301,0.763
0.0,23116,-1.8905,0.0587
0.0,23117,-0.7294,0.466
0.0,23118,-0.5096,0.61
0.0,23119,4.9489,0.0
0.0,23120,-0.8218,0.411
0.0,23121,-1.1051,0.269
0.0,23122,-0.6436,0.52
0.0,23123,0.1852,0.853
0.0,23124,1.847,0.0648
0.0,23125,0.5192,0.604
0.0,23126,0.43,0.667
0.0,23127,-0.5994,0.549
0.0,23128,2.1101,0.0349
0.0,23129,-0.3931,0.694
0.0,23130,0.3529,0.724
0.0,23132,0.9392,0.348
0.0,23133,0.9933,0.321
0.0,23134,1.2477,0.212
0.0,23135,1.8829,0.0598
0.0,23136,0.6926,0.489
0.0,23137,-1.3183,0.187
0.0,23138,-0.3542,0.723
0.0,23139,0.6679,0.504
