alpha,topic,trisk,pvalue
0.0,22939,1.3929,0.164
0.0,22941,0.7652,0.444
0.0,22942,0.1795,0.858
0.0,22943,0.2118,0.832
0.0,22944,-0.2924,0.77
0.0,22945,0.624,0.533
0.0,22946,1.0773,0.281
0.0,22947,0.3519,0.725
0.0,22948,-0.0338,0.973
0.0,22949,1.3268,0.185
0.0,22950,-0.0769,0.939
0.0,22951,0.0,1.0
0.0,22952,2.1968,0.0281
0.0,22953,0.0,1.0
0.0,22954,0.6177,0.537
0.0,22955,0.0,1.0
0.0,22956,1.4582,0.145
0.0,22957,0.0,1.0
0.0,22958,-1.887,0.0592
0.0,22959,0.0,1.0
0.0,22960,0.4405,0.66
0.0,22961,0.1139,0.909
0.0,22962,1.1403,0.254
0.0,22963,0.0,1.0
0.0,22964,0.1933,0.847
0.0,22965,0.8062,0.42
0.0,22966,0.0703,0.944
0.0,22967,0.6777,0.498
0.0,22968,0.8062,0.42
0.0,22969,0.0,1.0
0.0,22970,-0.3552,0.722
0.0,22971,0.0,1.0
0.0,22972,0.8569,0.392
0.0,22973,1.5554,0.12
0.0,22974,1.1688,0.243
0.0,22975,1.6461,0.0998
0.0,22976,0.4582,0.647
0.0,22977,2.7885,0.0053
0.0,22978,1.1051,0.269
0.0,22979,3.1136,0.0019
0.0,22980,-0.265,0.791
0.0,22981,0.0,1.0
0.0,22982,0.0,1.0
0.0,22983,-0.1412,0.888
0.0,22984,0.4828,0.629
0.0,22985,-0.6455,0.519
0.0,22986,-0.2135,0.831
0.0,22987,2.2879,0.0222
0.0,22988,1.6268,0.104
0.0,22989,0.8509,0.395
0.0,22990,0.134,0.893
0.0,22991,-1.8343,0.0667
0.0,22992,0.4297,0.667
0.0,22993,1.248,0.212
0.0,22994,0.0,1.0
0.0,22995,0.9442,0.345
0.0,22996,0.3187,0.75
0.0,22997,-0.0865,0.931
0.0,22998,0.4696,0.639
0.0,22999,2.0883,0.0368
0.0,23000,0.0778,0.938
0.0,23001,0.2266,0.821
0.0,23002,0.0502,0.96
0.0,23003,1.6075,0.108
0.0,23004,0.1002,0.92
0.0,23005,-1.7158,0.0862
0.0,23006,-0.2738,0.784
0.0,23007,0.415,0.678
0.0,23008,0.0,1.0
0.0,23009,0.643,0.52
0.0,23010,0.1795,0.858
0.0,23011,1.7329,0.0832
0.0,23012,1.9615,0.0499
0.0,23013,-0.6049,0.545
0.0,23014,0.294,0.769
0.0,23015,0.7242,0.469
0.0,23016,-0.7729,0.44
0.0,23017,1.5418,0.123
0.0,23018,1.4774,0.14
0.0,23019,1.5826,0.114
0.0,23020,-0.312,0.755
0.0,23021,1.4771,0.14
0.0,23022,-1.0665,0.286
0.0,23023,0.0,1.0
0.0,23024,0.6745,0.5
0.0,23025,0.0375,0.97
0.0,23026,0.0,1.0
0.0,23027,0.624,0.533
0.0,23028,0.5344,0.593
0.0,23029,0.7874,0.431
0.0,23030,-0.0143,0.989
0.0,23031,0.1087,0.913
0.0,23032,-0.6462,0.518
0.0,23033,-0.3926,0.695
0.0,23034,0.3072,0.759
0.0,23035,0.5482,0.584
0.0,23036,2.5452,0.0109
0.0,23037,0.0885,0.929
0.0,23038,-0.1643,0.869
0.0,23039,0.0,1.0
0.0,23041,-1.248,0.212
0.0,23042,3.0971,0.002
0.0,23043,-0.1673,0.867
0.0,23044,0.7327,0.464
0.0,23045,1.3268,0.185
0.0,23046,-0.9487,0.343
0.0,23047,0.5107,0.61
0.0,23048,-0.0534,0.957
0.0,23049,0.4828,0.629
0.0,23050,0.0,1.0
0.0,23051,-3.0999,0.0019
0.0,23052,0.768,0.443
0.0,23053,0.1156,0.908
0.0,23054,-0.7385,0.46
0.0,23055,0.0,1.0
0.0,23056,0.389,0.697
0.0,23057,-0.966,0.334
0.0,23058,0.4666,0.641
0.0,23059,-0.0367,0.971
0.0,23060,-0.2034,0.839
0.0,23061,-0.1909,0.849
0.0,23062,1.5471,0.122
0.0,23063,2.1578,0.031
0.0,23064,0.5048,0.614
0.0,23065,1.5729,0.116
0.0,23066,-0.4329,0.665
0.0,23067,0.0195,0.984
0.0,23068,1.8618,0.0627
0.0,23069,0.4607,0.645
0.0,23070,0.2306,0.818
0.0,23071,-1.2043,0.229
0.0,23072,1.802,0.0716
0.0,23073,0.6343,0.526
0.0,23074,0.0,1.0
0.0,23075,1.591,0.112
0.0,23076,0.1139,0.909
0.0,23077,-0.4414,0.659
0.0,23078,-0.1009,0.92
0.0,23079,0.0,1.0
0.0,23080,0.8989,0.369
0.0,23081,-0.863,0.388
0.0,23082,0.2808,0.779
0.0,23083,0.1262,0.9
0.0,23084,-0.411,0.681
0.0,23085,3.1773,0.0015
0.0,23086,0.0996,0.921
0.0,23087,0.7931,0.428
0.0,23088,1.4835,0.138
0.0,23089,-1.9486,0.0514
0.0,23090,0.8673,0.386
0.0,23091,0.4297,0.667
0.0,23092,0.624,0.533
0.0,23093,-0.1715,0.864
0.0,23094,0.999,0.318
0.0,23095,1.3322,0.183
0.0,23096,0.3297,0.742
0.0,23097,0.3109,0.756
0.0,23098,0.115,0.908
0.0,23099,-3.8592,0.0001
0.0,23100,0.8444,0.398
0.0,23101,0.3421,0.732
0.0,23102,-0.3419,0.732
0.0,23103,0.0,1.0
0.0,23104,-0.4569,0.648
0.0,23105,-0.5274,0.598
0.0,23106,-0.7402,0.459
0.0,23107,-0.4569,0.648
0.0,23108,1.0403,0.298
0.0,23109,0.1625,0.871
0.0,23110,-1.0389,0.299
0.0,23111,0.3129,0.754
0.0,23112,0.0671,0.947
0.0,23113,1.7158,0.0862
0.0,23114,1.5304,0.126
0.0,23115,0.9286,0.353
0.0,23116,-1.3481,0.178
0.0,23117,0.871,0.384
0.0,23118,-0.5284,0.597
0.0,23119,5.0077,0.0
0.0,23120,-0.6553,0.512
0.0,23121,-0.7948,0.427
0.0,23122,-0.6303,0.529
0.0,23123,0.1874,0.851
0.0,23124,1.2414,0.215
0.0,23125,0.6745,0.5
0.0,23126,0.4352,0.663
0.0,23127,-0.6065,0.544
0.0,23128,0.0,1.0
0.0,23129,-0.5122,0.609
0.0,23130,0.4413,0.659
0.0,23132,0.5365,0.592
0.0,23133,0.6613,0.508
0.0,23134,1.2626,0.207
0.0,23135,1.181,0.238
0.0,23136,0.7873,0.431
0.0,23137,-0.5003,0.617
0.0,23138,-0.8751,0.382
0.0,23139,1.0441,0.296
0.0,23140,0.0,1.0
0.0,23141,0.4828,0.629
0.0,23142,0.0865,0.931
0.0,23143,1.2071,0.227
0.0,23144,0.4167,0.677
0.0,23145,0.8421,0.4
0.0,23146,1.872,0.0612
0.0,23148,-0.7227,0.47
0.0,23149,0.1096,0.913
0.0,23150,-0.5302,0.596
0.0,23151,-0.3699,0.711
0.0,23152,-0.3162,0.752
0.0,23153,0.0965,0.923
0.0,23154,-0.3701,0.711
0.0,23155,0.624,0.533
0.0,23156,1.4705,0.141
0.0,23157,1.4105,0.158
0.0,23158,3.8171,0.0001
0.0,23159,-0.1827,0.855
0.0,23160,-0.4217,0.673
0.0,23161,0.285,0.776
0.0,23162,0.4811,0.63
0.0,23163,0.9582,0.338
0.0,23164,0.7601,0.447
0.0,23165,1.248,0.212
0.0,23167,0.063,0.95
0.0,23168,1.1982,0.231
0.0,23169,0.0954,0.924
0.0,23170,1.7915,0.0733
0.0,23171,3.4824,0.0005
0.0,23172,0.6494,0.516
