alpha urisk trisk pvalue models
0.0 0.074 32.8708 6.55e-220 JFTriskFAROAlpha10Trisk
1.0 0.0419 14.1655 6.58e-45 JFTriskFAROAlpha10Trisk
2.0 0.0099 2.6289 0.00859 JFTriskFAROAlpha10Trisk
3.0 -0.0221 -4.7539 2.04e-06 JFTriskFAROAlpha10Trisk
4.0 -0.0541 -9.7667 2.2e-22 JFTriskFAROAlpha10Trisk
5.0 -0.0861 -13.3541 3.62e-40 JFTriskFAROAlpha10Trisk
6.0 -0.1181 -16.0332 8.35e-57 JFTriskFAROAlpha10Trisk
7.0 -0.1501 -18.1036 1.46e-71 JFTriskFAROAlpha10Trisk
8.0 -0.1822 -19.7484 1.96e-84 JFTriskFAROAlpha10Trisk
9.0 -0.2142 -21.0848 1.28e-95 JFTriskFAROAlpha10Trisk
10.0 -0.2462 -22.1913 2.31e-105 JFTriskFAROAlpha10Trisk
0.0 0.0728 32.6417 4.27e-217 JFTriskFAROAlpha5Trisk
1.0 0.0411 13.9538 1.2e-43 JFTriskFAROAlpha5Trisk
2.0 0.0094 2.4998 0.0124 JFTriskFAROAlpha5Trisk
3.0 -0.0223 -4.7989 1.63e-06 JFTriskFAROAlpha5Trisk
4.0 -0.0539 -9.7409 2.83e-22 JFTriskFAROAlpha5Trisk
5.0 -0.0856 -13.2713 1.07e-39 JFTriskFAROAlpha5Trisk
6.0 -0.1173 -15.9045 6.1e-56 JFTriskFAROAlpha5Trisk
7.0 -0.149 -17.9376 2.55e-70 JFTriskFAROAlpha5Trisk
8.0 -0.1806 -19.5517 7.65e-83 JFTriskFAROAlpha5Trisk
9.0 -0.2123 -20.8625 1.03e-93 JFTriskFAROAlpha5Trisk
10.0 -0.244 -21.9473 3.55e-103 JFTriskFAROAlpha5Trisk
0.0 0.0752 33.3846 2.85e-226 JFTriskFAROTrisk
1.0 0.0432 14.5565 2.76e-47 JFTriskFAROTrisk
2.0 0.0113 2.9698 0.00299 JFTriskFAROTrisk
3.0 -0.0207 -4.4369 9.27e-06 JFTriskFAROTrisk
4.0 -0.0527 -9.4632 4.04e-21 JFTriskFAROTrisk
5.0 -0.0846 -13.0594 1.64e-38 JFTriskFAROTrisk
