alpha urisk trisk pvalue models
0.0 0.208 75.6974 0.0 FaroTrisk
1.0 0.1775 52.6443 0.0 FaroTrisk
2.0 0.147 35.9383 1.27e-265 FaroTrisk
3.0 0.1165 23.9605 2.66e-123 FaroTrisk
4.0 0.086 15.1782 1.92e-51 FaroTrisk
5.0 0.0554 8.5496 1.42e-17 FaroTrisk
6.0 0.0249 3.4063 0.000661 FaroTrisk
7.0 -0.0056 -0.6829 0.495 FaroTrisk
8.0 -0.0361 -4.0028 6.31e-05 FaroTrisk
9.0 -0.0666 -6.7469 1.6e-11 FaroTrisk
10.0 -0.0971 -9.0502 1.7e-19 FaroTrisk
0.0 0.2038 74.518 0.0 JFNDCGTrisk
1.0 0.1724 51.2358 0.0 JFNDCGTrisk
2.0 0.141 34.495 4.87e-246 JFNDCGTrisk
3.0 0.1096 22.5449 9.73e-110 JFNDCGTrisk
4.0 0.0783 13.8052 6.04e-43 JFNDCGTrisk
5.0 0.0469 7.219 5.63e-13 JFNDCGTrisk
6.0 0.0155 2.1135 0.0346 JFNDCGTrisk
7.0 -0.0159 -1.943 0.052 JFNDCGTrisk
8.0 -0.0473 -5.235 1.68e-07 JFNDCGTrisk
9.0 -0.0787 -7.9551 1.99e-15 JFNDCGTrisk
10.0 -0.11 -10.2378 1.79e-24 JFNDCGTrisk
0.0 0.2078 75.8009 0.0 JFTriskFAROAlpha1Trisk
1.0 0.1773 52.6706 0.0 JFTriskFAROAlpha1Trisk
2.0 0.1467 35.9273 1.8e-265 JFTriskFAROAlpha1Trisk
3.0 0.1161 23.9283 5.51e-123 JFTriskFAROAlpha1Trisk
4.0 0.0856 15.1322 3.81e-51 JFTriskFAROAlpha1Trisk
5.0 0.055 8.4936 2.3e-17 JFTriskFAROAlpha1Trisk
6.0 0.0244 3.3426 0.000833 JFTriskFAROAlpha1Trisk
7.0 -0.0061 -0.7528 0.452 JFTriskFAROAlpha1Trisk
8.0 -0.0367 -4.0779 4.58e-05 JFTriskFAROAlpha1Trisk
9.0 -0.0673 -6.8264 9.23e-12 JFTriskFAROAlpha1Trisk
10.0 -0.0978 -9.1335 7.96e-20 JFTriskFAROAlpha1Trisk
0.0 0.2048 75.0696 0.0 JFTriskSAROAlpha1Trisk
1.0 0.1742 51.9371 0.0 JFTriskSAROAlpha1Trisk
2.0 0.1436 35.2402 4.5e-256 JFTriskSAROAlpha1Trisk
3.0 0.113 23.3035 6.47e-117 JFTriskSAROAlpha1Trisk
4.0 0.0823 14.5689 1.41e-47 JFTriskSAROAlpha1Trisk
5.0 0.0517 7.9856 1.56e-15 JFTriskSAROAlpha1Trisk
6.0 0.0211 2.8826 0.00395 JFTriskSAROAlpha1Trisk
7.0 -0.0096 -1.1715 0.241 JFTriskSAROAlpha1Trisk
8.0 -0.0402 -4.4611 8.25e-06 JFTriskSAROAlpha1Trisk
9.0 -0.0708 -7.179 7.54e-13 JFTriskSAROAlpha1Trisk
10.0 -0.1014 -9.4594 3.82e-21 JFTriskSAROAlpha1Trisk
0.0 0.2105 76.3846 0.0 JFUriskAlpha1Trisk
1.0 0.1803 53.4759 0.0 JFUriskAlpha1Trisk
2.0 0.1501 36.7797 2.54e-277 JFUriskAlpha1Trisk
3.0 0.1199 24.7582 2.88e-131 JFUriskAlpha1Trisk
4.0 0.0897 15.9181 2.45e-56 JFUriskAlpha1Trisk
5.0 0.0596 9.2321 3.21e-20 JFUriskAlpha1Trisk
6.0 0.0294 4.0366 5.46e-05 JFUriskAlpha1Trisk
7.0 -0.0008 -0.0987 0.921 JFUriskAlpha1Trisk
8.0 -0.031 -3.4588 0.000545 JFUriskAlpha1Trisk
9.0 -0.0612 -6.238 4.62e-10 JFUriskAlpha1Trisk
10.0 -0.0913 -8.5718 1.17e-17 JFUriskAlpha1Trisk
0.0 0.2097 77.4325 0.0 lgbm.lrank.1500.63.0.05.0.4.min107min125min126min127Trisk
1.0 0.1806 54.6218 0.0 lgbm.lrank.1500.63.0.05.0.4.min107min125min126min127Trisk
2.0 0.1516 37.9094 2.39e-293 lgbm.lrank.1500.63.0.05.0.4.min107min125min126min127Trisk
3.0 0.1225 25.8342 2.26e-142 lgbm.lrank.1500.63.0.05.0.4.min107min125min126min127Trisk
4.0 0.0934 16.9341 2.05e-63 lgbm.lrank.1500.63.0.05.0.4.min107min125min126min127Trisk
5.0 0.0643 10.1923 2.85e-24 lgbm.lrank.1500.63.0.05.0.4.min107min125min126min127Trisk
